"No.","Time","Source","Destination","Protocol","Length","Info","Source_port","Dest_port"
"26","0.102693","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data","443","54434"
"27","0.102740","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1144 Ack=12993 Win=64860 Len=0","54434","443"
"28","0.120097","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data","443","54434"
"29","0.120099","74.125.131.119","192.168.0.14","TCP","54","443  >  54434 [ACK] Seq=12993 Ack=981 Win=65392 Len=0","443","54434"
"30","0.120172","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1144 Ack=14423 Win=64860 Len=0","54434","443"
"31","0.122547","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data","443","54434"
"32","0.122604","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1144 Ack=15853 Win=64860 Len=0","54434","443"
"33","0.123112","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data","443","54434"
"34","0.123766","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data","443","54434"
"35","0.123806","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1144 Ack=18713 Win=64860 Len=0","54434","443"
"36","0.131701","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data","443","54434"
"37","0.132878","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data, Application Data, Application Data","443","54434"
"38","0.132921","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1144 Ack=21573 Win=64860 Len=0","54434","443"
"39","0.133146","192.168.0.14","74.125.131.119","TLSv1.2","93","Application Data","54434","443"
"40","0.142451","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"41","0.142517","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=23003 Win=64860 Len=0","54434","443"
"42","0.143628","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"43","0.143675","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=24433 Win=64860 Len=0","54434","443"
"44","0.159155","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"45","0.159237","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=25863 Win=64860 Len=0","54434","443"
"46","0.161614","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"47","0.161699","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=27293 Win=64860 Len=0","54434","443"
"48","0.165220","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"49","0.165273","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=28723 Win=64860 Len=0","54434","443"
"50","0.165848","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"51","0.165887","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=30153 Win=64860 Len=0","54434","443"
"52","0.180719","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"53","0.180803","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=31583 Win=64860 Len=0","54434","443"
"54","0.181232","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"55","0.181270","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=33013 Win=64860 Len=0","54434","443"
"56","0.184107","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"57","0.184162","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=34443 Win=64860 Len=0","54434","443"
"58","0.185738","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"59","0.185794","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=35873 Win=64860 Len=0","54434","443"
"60","0.196561","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"61","0.196652","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=37303 Win=64860 Len=0","54434","443"
"62","0.198050","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"63","0.198093","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=38733 Win=64860 Len=0","54434","443"
"64","0.205564","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"65","0.205625","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=40163 Win=64860 Len=0","54434","443"
"66","0.210059","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"67","0.210114","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=41593 Win=64860 Len=0","54434","443"
"68","0.218530","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"69","0.218530","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"70","0.218574","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=44453 Win=64860 Len=0","54434","443"
"71","0.246831","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"72","0.246834","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"73","0.246835","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"74","0.246835","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"75","0.246902","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=50173 Win=64860 Len=0","54434","443"
"76","0.247100","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data, Application Data, Application Data","443","54434"
"77","0.248941","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"78","0.248970","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=53033 Win=64860 Len=0","54434","443"
"79","0.258362","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"80","0.259384","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"81","0.259413","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=55893 Win=64860 Len=0","54434","443"
"82","0.268112","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"83","0.269861","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"84","0.269890","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=58753 Win=64860 Len=0","54434","443"
"85","0.278610","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"86","0.289442","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"87","0.289529","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=61613 Win=64860 Len=0","54434","443"
"88","0.291340","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"89","0.291851","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"90","0.291913","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=64473 Win=64860 Len=0","54434","443"
"91","0.299646","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"92","0.300855","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data, Application Data","443","54434"
"93","0.300898","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=67333 Win=64860 Len=0","54434","443"
"94","0.310415","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"95","0.311887","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"96","0.311932","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=70193 Win=64860 Len=0","54434","443"
"97","0.325634","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data, Application Data, Application Data","443","54434"
"98","0.327081","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"99","0.327128","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=73053 Win=64860 Len=0","54434","443"
"100","0.331224","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"101","0.332325","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"102","0.332370","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=75913 Win=64860 Len=0","54434","443"
"103","0.339114","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"104","0.340366","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"105","0.340413","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=78773 Win=64860 Len=0","54434","443"
"106","0.347074","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"107","0.350214","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"108","0.350273","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=81633 Win=64860 Len=0","54434","443"
"109","0.354812","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"110","0.360503","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"111","0.360571","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=84493 Win=64860 Len=0","54434","443"
"112","0.375453","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"113","0.380310","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data, Application Data","443","54434"
"114","0.380312","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"115","0.380316","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"116","0.380381","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=90213 Win=64860 Len=0","54434","443"
"117","0.381581","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"118","0.384668","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"119","0.384721","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=93073 Win=64860 Len=0","54434","443"
"120","0.386336","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"121","0.387457","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"122","0.387505","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=95933 Win=64860 Len=0","54434","443"
"123","0.394006","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"124","0.395172","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"125","0.395218","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=98793 Win=64860 Len=0","54434","443"
"126","0.407872","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"127","0.408967","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"128","0.409009","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=101653 Win=64860 Len=0","54434","443"
"129","0.427413","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"130","0.427414","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"131","0.427474","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=104513 Win=64860 Len=0","54434","443"
"132","0.433872","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"133","0.435072","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data, Application Data","443","54434"
"134","0.435103","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=107373 Win=64860 Len=0","54434","443"
"135","0.457107","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"136","0.457968","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"137","0.458070","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=110233 Win=64860 Len=0","54434","443"
"138","0.459424","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"139","0.460904","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"140","0.460955","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=113093 Win=64860 Len=0","54434","443"
"141","0.472095","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"142","0.473887","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"143","0.473960","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=115953 Win=64860 Len=0","54434","443"
"144","0.486262","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"145","0.486864","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"146","0.486902","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=118813 Win=64860 Len=0","54434","443"
"147","0.494310","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"148","0.495810","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"149","0.495851","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=121673 Win=64860 Len=0","54434","443"
"150","0.502965","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"151","0.504017","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"152","0.504056","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=124533 Win=64860 Len=0","54434","443"
"153","0.511519","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data, Application Data, Application Data","443","54434"
"154","0.512793","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"155","0.512842","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=127393 Win=64860 Len=0","54434","443"
"156","0.520076","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"157","0.521262","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"158","0.521312","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=130253 Win=64860 Len=0","54434","443"
"159","0.536014","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"160","0.538116","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"161","0.538161","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=133113 Win=64860 Len=0","54434","443"
"162","0.539456","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"163","0.539460","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"164","0.539509","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=135973 Win=64860 Len=0","54434","443"
"165","0.545771","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"166","0.546946","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"167","0.546987","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=138833 Win=64860 Len=0","54434","443"
"168","0.553973","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54434"
"169","0.554846","74.125.131.119","192.168.0.14","TLSv1.2","1166","Application Data, Application Data","443","54434"
"170","0.554888","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1183 Ack=141375 Win=64860 Len=0","54434","443"
"171","0.895064","192.168.0.14","74.125.131.198","TLSv1.2","191","Application Data","54428","443"
"172","0.954993","74.125.131.198","192.168.0.14","TCP","54","443  >  54428 [ACK] Seq=1 Ack=138 Win=65392 Len=0","443","54428"
"173","0.955652","74.125.131.198","192.168.0.14","TLSv1.2","215","Application Data","443","54428"
"174","0.957986","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"175","0.958091","192.168.0.14","74.125.131.198","TCP","54","54428  >  443 [ACK] Seq=138 Ack=1592 Win=64860 Len=0","54428","443"
"176","0.962976","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"177","0.965353","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"178","0.965414","192.168.0.14","74.125.131.198","TCP","54","54428  >  443 [ACK] Seq=138 Ack=4452 Win=64860 Len=0","54428","443"
"179","0.972262","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"180","0.972798","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"181","0.972845","192.168.0.14","74.125.131.198","TCP","54","54428  >  443 [ACK] Seq=138 Ack=7312 Win=64860 Len=0","54428","443"
"182","0.979845","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"183","0.981290","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"184","0.981332","192.168.0.14","74.125.131.198","TCP","54","54428  >  443 [ACK] Seq=138 Ack=10172 Win=64860 Len=0","54428","443"
"185","0.988537","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"186","0.990085","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"187","0.990182","192.168.0.14","74.125.131.198","TCP","54","54428  >  443 [ACK] Seq=138 Ack=13032 Win=64860 Len=0","54428","443"
"188","0.999137","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"189","0.999695","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"190","0.999725","192.168.0.14","74.125.131.198","TCP","54","54428  >  443 [ACK] Seq=138 Ack=15892 Win=64860 Len=0","54428","443"
"191","1.005974","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"192","1.007230","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"193","1.007294","192.168.0.14","74.125.131.198","TCP","54","54428  >  443 [ACK] Seq=138 Ack=18752 Win=64860 Len=0","54428","443"
"194","1.014526","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"195","1.015903","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"196","1.015939","192.168.0.14","74.125.131.198","TCP","54","54428  >  443 [ACK] Seq=138 Ack=21612 Win=64860 Len=0","54428","443"
"197","1.023342","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"198","1.030080","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"199","1.030121","192.168.0.14","74.125.131.198","TCP","54","54428  >  443 [ACK] Seq=138 Ack=24472 Win=64860 Len=0","54428","443"
"200","1.031938","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"201","1.033197","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"202","1.033225","192.168.0.14","74.125.131.198","TCP","54","54428  >  443 [ACK] Seq=138 Ack=27332 Win=64860 Len=0","54428","443"
"203","1.041176","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"204","1.042148","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"205","1.042191","192.168.0.14","74.125.131.198","TCP","54","54428  >  443 [ACK] Seq=138 Ack=30192 Win=64860 Len=0","54428","443"
"206","1.049394","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"207","1.050604","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"208","1.050635","192.168.0.14","74.125.131.198","TCP","54","54428  >  443 [ACK] Seq=138 Ack=33052 Win=64860 Len=0","54428","443"
"209","1.058436","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data","443","54428"
"210","1.059645","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54428"
"211","1.059680","192.168.0.14","74.125.131.198","TCP","54","54428  >  443 [ACK] Seq=138 Ack=35912 Win=64860 Len=0","54428","443"
"212","1.066984","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54428"
"213","1.068093","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54428"
"214","1.068127","192.168.0.14","74.125.131.198","TCP","54","54428  >  443 [ACK] Seq=138 Ack=38772 Win=64860 Len=0","54428","443"
"215","1.075605","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54428"
"216","1.076809","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54428"
"217","1.076835","192.168.0.14","74.125.131.198","TCP","54","54428  >  443 [ACK] Seq=138 Ack=41632 Win=64860 Len=0","54428","443"
"218","1.084074","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54428"
"219","1.088402","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54428"
"220","1.088433","192.168.0.14","74.125.131.198","TCP","54","54428  >  443 [ACK] Seq=138 Ack=44492 Win=64860 Len=0","54428","443"
"221","1.093004","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54428"
"222","1.094242","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54428"
"223","1.094262","192.168.0.14","74.125.131.198","TCP","54","54428  >  443 [ACK] Seq=138 Ack=47352 Win=64860 Len=0","54428","443"
"224","1.101505","74.125.131.198","192.168.0.14","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]","443","54428"
